start_time,datetime,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_100_1k,range_100_1k_percent,range_10_100,range_10_100_percent,range_10k_inf,range_10k_inf_percent,range_1_10,range_1_10_percent,range_1k_10k,range_1k_10k_percent
2021-01-01 00:00:00,2021-01-01 00:00:00,8195253,7.08322224,2912179,2.51701943,103618066,89.55791721,20744,0.0179292,147134,0.12716908,50,4.322e-05,804140,0.69502459,1938,0.00167503
2021-01-01 01:00:00,2021-01-01 01:00:00,8189052,7.07907597,2911882,2.51719416,103604766,89.56177211,20749,0.0179366,146861,0.12695489,50,4.322e-05,804371,0.69534342,1943,0.00167964
2021-01-01 02:00:00,2021-01-01 02:00:00,8188569,7.0795271,2911464,2.51714167,103591416,89.56122086,20747,0.01793707,146924,0.12702493,50,4.323e-05,804368,0.69542615,1942,0.00167898
2021-01-01 03:00:00,2021-01-01 03:00:00,8189224,7.08023987,2911627,2.51733468,103588187,89.5602821,20699,0.01789594,146903,0.12700941,50,4.323e-05,804452,0.69551317,1945,0.00168161
2021-01-01 04:00:00,2021-01-01 04:00:00,8188235,7.07960919,2911609,2.51739891,103585261,89.560591,20703,0.01789997,147162,0.12723737,50,4.323e-05,804459,0.69554127,1942,0.00167907
2021-01-01 05:00:00,2021-01-01 05:00:00,8185624,7.07840527,2911733,2.51788089,103570430,89.56109848,20695,0.01789572,147184,0.12727533,50,4.324e-05,804548,0.69572177,1942,0.00167932
2021-01-01 06:00:00,2021-01-01 06:00:00,8183445,7.07863556,2911680,2.51858741,103538089,89.55988565,20695,0.01790106,147184,0.12731336,50,4.325e-05,804576,0.69595388,1942,0.00167982
2021-01-01 07:00:00,2021-01-01 07:00:00,8182681,7.07827343,2911654,2.51867122,103534023,89.5601483,20699,0.01790528,147154,0.12729278,50,4.325e-05,804579,0.69598585,1942,0.00167989
2021-01-01 08:00:00,2021-01-01 08:00:00,8181619,7.0789647,2911822,2.51938952,103508507,89.55844403,20704,0.01791368,147138,0.1273079,50,4.326e-05,804709,0.69625665,1942,0.00168027
2021-01-01 09:00:00,2021-01-01 09:00:00,8179570,7.07729454,2911870,2.51946761,103508720,89.55992782,20703,0.01791307,147110,0.12728552,50,4.326e-05,804849,0.69638788,1942,0.0016803
2021-01-01 10:00:00,2021-01-01 10:00:00,8176962,7.07794328,2911840,2.52047623,103463867,89.55788002,20703,0.01792043,147125,0.12735077,50,4.328e-05,804882,0.69670241,1945,0.00168358
2021-01-01 11:00:00,2021-01-01 11:00:00,8176517,7.07765721,2912025,2.52067167,103462318,89.5577935,20703,0.01792068,147156,0.12737939,50,4.328e-05,805042,0.69685067,1945,0.00168361
2021-01-01 12:00:00,2021-01-01 12:00:00,8172684,7.07499634,2911749,2.52066683,103455696,89.56037824,20714,0.01793187,147163,0.12739728,50,4.328e-05,805027,0.6969024,1945,0.00168376
2021-01-01 13:00:00,2021-01-01 13:00:00,8172156,7.0744744,2912222,2.52105319,103456743,89.56046356,20712,0.01792997,147176,0.12740736,50,4.328e-05,805084,0.69694535,1944,0.00168288
2021-01-01 14:00:00,2021-01-01 14:00:00,8170149,7.07301906,2911971,2.52093645,103454473,89.56207037,20713,0.01793155,147195,0.12742889,50,4.329e-05,804987,0.69688917,1942,0.00168122
